Date,bitcoin,dogecoin,ethereum,coal
2015-09-01,228.1210021972656,0.00012711000454146415,1.3516099452972412,178.1
2015-10-01,237.5489959716797,0.00012240000069141388,0.690214991569519,175.7
2015-11-01,325.4309997558594,0.0001413120044162497,1.0556700229644775,176.1
2015-12-01,362.4880065917969,0.00012725699343718588,0.8748000264167786,177.4
2016-01-01,434.3340148925781,0.00015439199341926724,0.9480239748954772,174.4
2016-02-01,373.0559997558594,0.0002702340134419501,2.2116899490356445,172.5
2016-03-01,435.12298583984375,0.00024871600908227265,7.653689861297607,181.6
2016-04-01,417.9599914550781,0.00022418799926526845,11.663599967956545,177.9
2016-05-01,451.875,0.00022610199812334034,8.846500396728516,187.2
2016-06-01,536.9199829101561,0.00023357800091616812,14.001500129699707,187.5
2016-07-01,676.2960205078125,0.0003020509902853519,12.19950008392334,179.6
2016-08-01,606.27197265625,0.000223013004870154,10.94159984588623,172.8
2016-09-01,572.302978515625,0.00023193900415208188,11.99489974975586,172.3
2016-10-01,613.9829711914062,0.0002330129937035963,13.172699928283693,178.2
2016-11-01,729.7930297851562,0.00022098800400272006,10.76609992980957,179.4
2016-12-01,756.7739868164062,0.0002143739984603599,8.452500343322754,179.3
2017-01-01,998.3250122070312,0.00022783300664741543,8.17257022857666,181.6
2017-02-01,989.0230102539062,0.0002093920047627762,10.732099533081056,176.8
2017-03-01,1222.5,0.0002027750015258789,17.349700927734375,176.1
2017-04-01,1080.5,0.0003351760096848011,50.699501037597656,181.2
2017-05-01,1421.5999755859375,0.0006862119771540165,76.2969970703125,177.5
2017-06-01,2407.8798828125,0.0028666299767792225,222.23899841308597,176.3
2017-07-01,2434.550048828125,0.002644879976287484,274.6010131835937,176.1
2017-08-01,2718.260009765625,0.0017919900128617887,226.7689971923828,176.1
2017-09-01,4892.009765625,0.0025433700066059828,387.7409973144531,177.6
2017-10-01,4403.740234375,0.0010836200090125203,302.3370056152344,177.4
2017-11-01,6767.31005859375,0.0011376700131222606,291.6940002441406,179.2
2017-12-01,10975.599609375,0.002148040104657412,466.5400085449219,178.8
2018-01-01,13657.2001953125,0.008908670395612717,772.6409912109375,177.4
2018-02-01,9170.5400390625,0.005029149819165468,1036.7900390625,179.8
2018-03-01,10951.0,0.006214980036020279,872.2000122070312,181.5
2018-04-01,6844.22998046875,0.002718680072575808,379.6069946289063,181.0
2018-05-01,9119.009765625,0.0051442701369524,673.6129760742188,182.8
2018-06-01,7541.4501953125,0.0034232100006192927,580.0430297851562,182.7
2018-07-01,6385.81982421875,0.002489190082997084,453.9179992675781,183.2
2018-08-01,7624.91,0.0031595,420.74699999999996,181.7
2018-09-01,7193.25,0.00627772,295.341,182.4
2018-10-01,6589.62,0.00594179,230.768,184.3
2018-11-01,6377.78,0.00377677,198.872,183.3
2018-12-01,4214.67193177,0.00224997386285,118.635558644,183.8
2019-01-01,3843.51996727,0.0023921240287600003,140.819413158,182.9
2019-02-01,3487.94538683,0.00191648792154,107.609786895,182.8
2019-03-01,3859.58375221,0.00199448955759,136.443622783,184.9
2019-04-01,4158.18307045,0.0024611327211199996,141.830324349,183.4
2019-05-01,5402.69709069,0.00252120797696,160.81834425600002,180.5
2019-06-01,8564.01647182,0.0034189002487199998,265.391260671,183.9
2019-07-01,10583.1345195,0.0032378275924699997,293.641117329,183.7
2019-08-01,10399.6694229,0.0029573870408900003,217.808443355,184.0
2019-09-01,9757.97031807,0.0024916455570200002,171.629420013,183.9
2019-10-01,8343.276681399999,0.0023880819004899996,177.340419656,187.5
2019-11-01,9261.104352,0.00263030761983,183.969902446,180.2
2019-12-01,7424.29226516,0.00229185328359,151.18572935,180.3
2020-01-01,7200.17439274,0.00203261369263,130.802008077,179.3
2020-02-01,9392.87536841,0.0024220398722100004,183.673947121,178.9
2020-03-01,8562.45405008,0.0022747388053799998,218.970599927,178.9
2020-04-01,6606.77626829,0.00186665946146,135.634552336,181.0
2020-05-01,8864.76680793,0.00249390855533,214.219106382,180.3
2020-06-01,10167.268101200001,0.00264671649786,246.991760327,180.7
2020-07-01,9228.32559024,0.0023536464355700002,231.11342171200002,178.7
2020-08-01,11759.592770700001,0.0036886384167499997,385.199719325,176.6
2020-09-01,11970.4787405,0.0032559851036399997,477.051924154,178.1
2020-10-01,10619.45190766,0.00261584,353.20591482,178.8
2020-11-01,13737.10982864,0.00258175,396.35818693,177.7
2020-12-01,18802.99829969,0.0033347000000000003,587.32418713,179.3
2021-01-01,29374.15188907,0.00568496,730.36756913,179.1
2021-02-01,33537.1768196,0.03487468,1369.04046855,179.5
2021-03-01,49631.24137077,0.05059866,1564.70764686,180.3
2021-04-01,59095.80797806,0.06198606,1977.27688844,181.9
2021-05-01,57828.05063222,0.39298743,2945.89270802,181.4
2021-06-01,36684.92451667,0.37007655,2633.51841662,184.0
2021-07-01,33572.11765253,0.24454948,2113.60552345,182.8
