Date,nysecomp,nasdaqcomp,hangsengind,shanghaicomp,euronext,nikkei,bitcoin,dogecoin,ethereum,crudeoil,ngas
2015-08-10,10906.049809999999,5101.799805,24521.11914,3928.415039,1005.1300050000001,20808.68945,264.47000122070307,0.00015999299648683518,0.7084479928016663,44.959998999999996,2.849999999999999
2015-08-11,10802.08984,5036.790039,24498.21094,3927.9079590000006,989.320007,20720.75,270.385986328125,0.0001636600063648075,1.0678600072860718,43.080002,2.84
2015-08-12,10779.45996,5044.390136999999,23916.01953,3886.320068,957.3099980000001,20392.76953,266.37600708007807,0.00016025999502744526,1.2174400091171265,43.299999,2.93
2015-08-13,10745.30957,5033.560059,24018.80078,3954.555908,966.400024,20595.55078,264.07998657226557,0.00015630800044164062,1.827669978141785,42.23,2.93
2015-08-14,10782.24023,5048.240234000001,23991.0293,3965.334961,960.2999880000001,20519.44922,265.67999267578125,0.0001577070070197806,1.8278700113296509,42.5,2.829999999999999
2015-08-17,10818.57031,5091.700195,23814.65039,3993.6679689999996,963.0,20620.25977,257.9760131835937,0.0001501299993833527,1.2036099433898926,41.869999,2.7900000000000005
2015-08-18,10792.799809999999,5059.350098,23474.9707,3748.164063,964.2000119999999,20554.4707,211.07899475097656,0.00013390700041782108,1.0870499610900881,42.619999,2.71
2015-08-19,10687.01953,5019.049805,23167.84961,3794.108887,947.3099980000001,20222.63086,226.6840057373047,0.00013092899462208152,1.2588599920272827,40.799999,2.7700000000000005
2015-08-20,10475.75,4877.490234000001,22757.4707,3664.2910159999997,926.7199710000001,20033.51953,235.3500061035156,0.00013892400602344424,1.4649200439453125,41.139998999999996,2.7700000000000005
2015-08-21,10195.69043,4706.040039,22409.61914,3507.743896,896.2800289999999,19435.83008,232.56900024414062,0.00014480299432761967,1.3952900171279907,40.450001,2.7
2015-08-24,9789.94043,4526.25,21251.57031,3209.905029,849.9400019999999,18540.67969,210.4949951171875,0.00012757000513374805,1.2312699556350708,38.240002000000004,2.6499999999999986
2015-08-25,9692.389648,4506.490234000001,21404.96094,2964.967041,884.7199710000001,17806.69922,221.60899353027344,0.0001286610058741644,1.1401900053024292,39.310001,2.71
2015-08-26,9979.669922,4697.540039,21080.39063,2927.288086,871.150024,18376.83008,225.83099365234372,0.00013305699394550174,1.159980058670044,38.599998,2.7300000000000013
2015-08-27,10230.50977,4812.709961,21838.53906,3083.591064,900.51001,18574.43945,224.7689971923828,0.00012921799498144537,1.147699952125549,42.560001,2.689999999999999
2015-08-28,10242.05957,4828.319824,21612.39063,3232.350098,904.330017,19136.32031,231.39599609375,0.00013244900037534535,1.1913800239562988,45.220001,2.689999999999999
2015-08-31,10176.5,4776.509765999999,21670.58008,3205.986084,900.5200199999999,18890.48047,230.05599975585938,0.00012895600229967386,1.358240008354187,49.200001,2.7
2015-09-01,9874.669922,4636.100098,21185.42969,3166.624023,878.169983,18165.68945,228.1210021972656,0.00012711000454146415,1.3516099452972412,45.41,2.7
2015-09-02,10013.36035,4749.97998,20934.93945,3160.1669920000004,880.590027,18095.40039,229.28399658203125,0.00012610100384335965,1.2947900295257568,46.25,2.7
2015-09-08,10109.67969,4811.930176,21259.03906,3170.451904,887.25,17427.08008,243.60699462890625,0.00013146200217306614,1.2424299716949463,45.939999,2.7399999999999998
2015-09-09,9988.910156,4756.529785,22131.31055,3243.089111,899.570007,18770.50977,238.1679992675781,0.00012961500033270568,1.2065099477767944,44.150002,2.7399999999999998
2015-09-10,10019.38965,4796.25,21562.5,3197.893066,886.01001,18299.61914,238.4770050048828,0.00012853200314566493,1.1657700538635254,45.919998,2.71
2015-09-11,10040.219729999999,4822.339844,21504.36914,3200.2338870000003,876.2199710000001,18264.2207,240.10699462890625,0.00013078999472782016,0.9829779863357544,44.630001,2.670000000000001
2015-09-14,9988.589844,4805.759765999999,21561.90039,3114.798096,870.7000119999999,17965.69922,230.6439971923828,0.0001248399930773303,0.8756219744682312,44.0,2.7
2015-09-15,10105.87012,4860.52002,21455.23047,3005.1721190000003,878.7000119999999,18026.48047,230.3040008544922,0.00012575399887282399,0.9444100260734558,44.59,2.7399999999999998
2015-09-16,10236.719729999999,4889.240234000001,21966.66016,3152.262939,895.0300289999999,18171.59961,229.09100341796875,0.00012395399971865118,0.9071750044822692,47.150002,2.689999999999999
2015-09-17,10215.54004,4893.950195,21854.63086,3086.061035,896.400024,18432.26953,229.80999755859372,0.0001250670029548928,0.8742309808731079,46.900002,2.689999999999999
2015-09-18,10031.59961,4827.22998,21920.83008,3097.9169920000004,875.909973,18070.21094,232.9750061035156,0.00012651999713853002,0.8536850214004517,44.68,2.689999999999999
2015-09-24,9837.80957,4734.47998,21095.98047,3142.6870120000003,839.900024,17571.83008,234.5290069580078,0.00012385600712150338,0.8136100172996521,44.91,2.619999999999999
2015-09-25,9857.259766,4686.5,21186.32031,3092.346924,865.599976,17880.50977,235.1439971923828,0.00012196900206618012,0.7362229824066162,45.700001,2.599999999999999
2015-09-29,9622.070313,4517.319824,20556.59961,3038.136963,838.450012,16930.83984,236.6869964599609,0.00012099600280635062,0.6611459851264954,45.23,2.57
2015-09-30,9799.69043,4620.160156,20846.30078,3052.7810059999997,858.5499880000001,17388.15039,236.05999755859372,0.0001231339992955327,0.738644003868103,45.09,2.4699999999999998
2015-10-08,10361.04004,4810.790039,22354.91016,3143.356934,900.25,18141.16992,242.3040008544922,0.00011921999976038933,0.6217160224914551,49.43,2.3500000000000005
